Latitude,Longitude,ID,Time,Locust,Soil_Moisture,Elevation,Soil_Temperature,Vegetation_Index
37.42416667,3.122222222,36605,2020-06-30,1,-1,-1,-1,-1
37.42416667,3.122222222,36606,2020-06-30,1,-1,-1,-1,-1
37.42277778,3.129444444,36607,2020-06-30,1,-1,-1,-1,-1
37.42277778,3.129444444,36615,2020-06-30,1,-1,-1,-1,-1
37.41333333,3.124444444,36628,2020-06-30,1,-1,-1,-1,-1
37.41694444,3.121111111,36629,2020-06-30,1,-1,-1,-1,-1
35.04444444,2.612222222,36630,2020-06-30,1,-1,-1,-1,-1
36.90694444,2.245555556,36631,2020-06-30,1,-1,-1,-1,-1
35.04527778,2.610833333,36636,2020-06-30,1,-1,-1,-1,-1
35.045,2.609166667,36637,2020-06-30,1,-1,-1,-1,-1
35.0375,2.606666667,36638,2020-06-30,1,-1,-1,-1,-1
35.03777778,2.606944444,36639,2020-06-30,1,-1,-1,-1,-1
37.41666667,3.121388889,36640,2020-06-30,1,-1,-1,-1,-1
36.72166667,2.751666667,36651,2020-06-30,1,-1,-1,-1,-1
34.7,2.716666667,36664,2020-06-30,1,-1,-1,-1,-1
