Latitude ,Longitude ,ID,Time,Locust,Soil_Moisture,Wind,Vegetation_Index,Humidity_D,Humidity_N,Elevation,Temperature_D,Temperature_N
45.75277778,14.875,22485,2019-06-09,1,-1,-1,-1,-1,-1,-1,-1,-1
44.47222222,16.27305556,22486,2019-06-13,1,-1,-1,-1,-1,-1,-1,-1,-1
45.3425,13.26555556,22487,2019-06-14,1,-1,-1,-1,-1,-1,-1,-1,-1
58.70722222,25.70611111,22488,2019-06-14,1,-1,-1,-1,-1,-1,-1,-1,-1
44.26472222,10.44361111,22489,2019-06-20,1,-1,-1,-1,-1,-1,-1,-1,-1
44.26472222,10.17472222,22490,2019-06-20,1,-1,-1,-1,-1,-1,-1,-1,-1
45.4325,10.25194444,22491,2019-06-20,1,-1,-1,-1,-1,-1,-1,-1,-1
45.4325,10.41972222,22492,2019-06-20,1,-1,-1,-1,-1,-1,-1,-1,-1
45.02388889,10.43111111,22493,2019-06-20,1,-1,-1,-1,-1,-1,-1,-1,-1
44.55916667,10.07944444,22494,2019-06-20,1,-1,-1,-1,-1,-1,-1,-1,-1
43.66666667,10.26666667,22495,2019-06-20,1,-1,-1,-1,-1,-1,-1,-1,-1
43.91888889,9.925,22496,2019-06-20,1,-1,-1,-1,-1,-1,-1,-1,-1
43.44111111,10.98638889,22497,2019-06-19,1,-1,-1,-1,-1,-1,-1,-1,-1
43.42777778,10.61055556,22498,2019-06-19,1,-1,-1,-1,-1,-1,-1,-1,-1
43.79666667,10.38388889,22499,2019-06-19,1,-1,-1,-1,-1,-1,-1,-1,-1
43.69111111,10.47055556,22500,2019-06-19,1,-1,-1,-1,-1,-1,-1,-1,-1
42.89166667,10.61,22501,2019-06-19,1,-1,-1,-1,-1,-1,-1,-1,-1
42.89166667,10.51,22502,2019-06-19,1,-1,-1,-1,-1,-1,-1,-1,-1
43.425,10.79277778,22503,2019-06-19,1,-1,-1,-1,-1,-1,-1,-1,-1
70.57472222,26.51777778,22504,2019-06-26,1,-1,-1,-1,-1,-1,-1,-1,-1
70.56666667,26.51444444,22505,2019-06-27,1,-1,-1,-1,-1,-1,-1,-1,-1
71.465,27.19833333,22506,2019-06-28,1,-1,-1,-1,-1,-1,-1,-1,-1
70.60611111,26.38833333,22507,2019-06-29,1,-1,-1,-1,-1,-1,-1,-1,-1
70.60611111,26.38833333,22508,2019-06-29,1,-1,-1,-1,-1,-1,-1,-1,-1
71.46416667,27.20277778,22509,2019-06-29,1,-1,-1,-1,-1,-1,-1,-1,-1
70.70222222,26.61861111,22510,2019-06-30,1,-1,-1,-1,-1,-1,-1,-1,-1
71.48916667,27.20777778,22511,2019-06-30,1,-1,-1,-1,-1,-1,-1,-1,-1
42.57194444,10.75222222,22512,2019-06-25,1,-1,-1,-1,-1,-1,-1,-1,-1
37.52,9.129444444,22513,2019-06-25,1,-1,-1,-1,-1,-1,-1,-1,-1
41.85055556,9.600277778,22514,2019-06-25,1,-1,-1,-1,-1,-1,-1,-1,-1
71.46805556,27.20083333,22515,2019-06-28,1,-1,-1,-1,-1,-1,-1,-1,-1
71.46722222,27.20027778,22516,2019-06-28,1,-1,-1,-1,-1,-1,-1,-1,-1
70.81972222,26.57194444,22517,2019-06-28,1,-1,-1,-1,-1,-1,-1,-1,-1
71.46611111,27.19972222,22518,2019-06-28,1,-1,-1,-1,-1,-1,-1,-1,-1
71.45888889,27.20027778,22519,2019-06-29,1,-1,-1,-1,-1,-1,-1,-1,-1
71.48333333,27.19888889,22520,2019-06-29,1,-1,-1,-1,-1,-1,-1,-1,-1
71.48861111,27.20916667,22521,2019-06-30,1,-1,-1,-1,-1,-1,-1,-1,-1
71.48111111,27.18972222,22522,2019-06-30,1,-1,-1,-1,-1,-1,-1,-1,-1
71.19305556,26.605,22523,2019-06-30,1,-1,-1,-1,-1,-1,-1,-1,-1
71.01444444,26.69888889,22524,2019-06-30,1,-1,-1,-1,-1,-1,-1,-1,-1
71.48111111,27.18972222,22525,2019-06-30,1,-1,-1,-1,-1,-1,-1,-1,-1
43.03638889,27.26138889,22526,2019-06-16,1,-1,-1,-1,-1,-1,-1,-1,-1
70.61583333,26.61861111,22527,2019-06-28,1,-1,-1,-1,-1,-1,-1,-1,-1
71.48138889,27.19,22528,2019-06-30,1,-1,-1,-1,-1,-1,-1,-1,-1
